"[40.3468736, -79.7767449]",Ca/Wisc,2019-12-04 17:02:35,Deplorable KG,b'RT @RepMarkMeadows: Democrats are holding a national T.V. hearing to ask three liberal law professors why President Trump should be impeach\xe2\x80\xa6'
"[51.4392419, -0.0530903]","Forest Hill, London",2019-12-04 17:02:35,Chris Bailey 🏳️‍🌈🔸🕷🇪🇺 #FBPE,"b'RT @MikeAmesburyMP: Drug prices, UK vs USA\n\n\xf0\x9f\x92\x89 Insulin\n\xf0\x9f\x87\xac\xf0\x9f\x87\xa7 \xc2\xa316.61 \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 \xc2\xa3215.30\n\xf0\x9f\x94\xba 1300%\n\n\xf0\x9f\xa5\x9c Epipen 300mg\n\xf0\x9f\x87\xac\xf0\x9f\x87\xa7 \xc2\xa352.90 \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 \xc2\xa3523\n\xf0\x9f\x94\xba 1000%\n\n\xf0\x9f\x92\x93 Statin 10mg\xe2\x80\xa6'"
"[33.0186103, -117.0610495]","Rancho Bernardo, San Diego",2019-12-04 17:02:35,Camtini,"b""RT @GOPLeader: Democrats still don't get it\xe2\x80\x94they are pushing ahead with impeachment based on opinions from liberal law professors from coas\xe2\x80\xa6"""
"[51.5073219, -0.1276474]","London, England, Europe",2019-12-04 17:02:35,judi rayner 🔶🇪🇺🎪🕷️,"b""RT @Haggis_UK: #skynews - You were seen having a joke at Donald Trump's expense.. do you not take President Trump seriously?\n\nBoris Johnson\xe2\x80\xa6"""
"[34.2006503, -86.1663655]","Boaz, Alabama",2019-12-04 17:02:35,Richard L. Fricks,"b'RT @funder: Professor Karlan just called out Doug Collins for his lies, then made it clear while staring at him that Trump abused his power\xe2\x80\xa6'"
"[32.7876012, -79.9402728]","Charleston, SC",2019-12-04 17:02:35,CharlestonCovfefeCard,"b'RT @RepLeeZeldin: Congrats to the professors who won the Dems\xe2\x80\x99 nationwide talent search for the most elitist, unhinged anti-Trump professor\xe2\x80\xa6'"
"[-27.8632387, -54.4612158]",Central California ,2019-12-04 17:02:35,Happy Trumpster,"b""RT @GOPLeader: Democrats still don't get it\xe2\x80\x94they are pushing ahead with impeachment based on opinions from liberal law professors from coas\xe2\x80\xa6"""
"[31.8160381, -99.5120986]",Texas,2019-12-04 17:02:35,Sheepdog Smokey,"b'@M2Madness @Lovemypresiden4 @AndrewYang and every other Dem out there SCREAMS about how everything Trump does is ""u\xe2\x80\xa6 https://t.co/cNkQrqFjsB'"
"[43.0020919, -89.423817]","Fitchburg, WI",2019-12-04 17:02:35,Jean M. O'Brien,"b'RT @CBSNews: Prof. Gerhardt: ""If what we\'re talking about is not impeachable, then nothing is impeachable. This is precisely the misconduct\xe2\x80\xa6'"
"[50.6402809, 4.6667145]",België,2019-12-04 17:02:35,Shwani ❤💛💚,"b""RT @FloracBosch: Trump does not yet understand that Erdogan's party AKP is a version of Muslim brotherhood. That way it is apolitical and b\xe2\x80\xa6"""
